"","t","","",""
"1",-0.16862243754902,1.01617658973288,-0.142817635987881,-0.110534991617928
"2",-0.16862243754902,1.01985066051121,-0.126127192770321,-0.155522670337869
"3",-0.16862243754902,1.02229142725193,-0.0831983951430098,-0.195340188590116
"4",-0.16862243754902,1.00371401342232,-0.0827447157436994,-0.0243953429335066
"5",-0.16862243754902,1.00662513142896,-0.115279925330434,0.00216657337122162
"6",-0.16862243754902,1.01761945448616,-0.0382419683830756,-0.184626395737179
"7",-0.16862243754902,1.02917888969374,-0.150866708061175,-0.190914701869756
"8",-0.16862243754902,1.01817559633912,-0.142107883470457,-0.128401302314559
"9",-0.16862243754902,1.01038649787975,-0.0835798053857593,-0.117878289898489
"10",-0.16862243754902,1.00938656264598,-0.0916868882232329,-0.102248459050518
"11",-0.16862243754902,1.04498907302986,-0.185129376645905,-0.240269175414805
"12",-0.16862243754902,1.02461604048587,-0.153647773571394,-0.161957994855121
"13",-0.16862243754902,1.02770777810467,-0.081186943940346,-0.22269251741016
"14",-0.16862243754902,1.00385334195401,-0.0733269475683514,-0.0484220085554411
"15",-0.16862243754902,1.02050903998529,-0.107008626127039,-0.1731700165332
"16",-0.16862243754902,1.0399744921417,0.031675123144241,-0.283802098088047
"17",-0.16862243754902,1.00957665431847,-0.033290427294596,-0.134672819809407
"18",-0.16862243754902,1.03537068436807,-0.169296588481286,-0.208161281648161
"19",-0.16862243754902,1.00754432320432,-0.118843674961291,-0.0319647327995535
"20",-0.16862243754902,1.02235176485816,-0.152537577735458,-0.148106105502752
"21",-0.16862243754902,1.02745636289438,-0.216186822964152,-0.0944978054180305
"22",-0.16862243754902,1.02825239502585,-0.206333360477008,-0.121365284289468
"23",-0.16862243754902,1.01459212439548,-0.141448375245739,-0.0968996182947678
"24",-0.16862243754902,1.03344845395573,-0.185851046057481,-0.182962006063606
"25",-0.16862243754902,1.02582661444787,-0.1586315809215,-0.164791578801625
"26",-0.16862243754902,1.01734123194683,-0.0437573585645289,-0.181847396985915
"27",-0.16862243754902,1.01214561225527,-0.10501586627573,-0.115803317042099
"28",-0.16862243754902,1.01945511720395,-0.146548015447699,-0.133463160316467
"29",-0.16862243754902,1.02201758773221,-0.199649441351371,-0.0682645603667019
"30",-0.16862243754902,1.00536418882432,-0.0674203154882755,-0.0788140420854613
"31",-0.16862243754902,1.04093707825544,-0.221466930125546,-0.185748216001472
"32",-0.16862243754902,1.0112736998463,-0.138820484198437,-0.0583384021699134
"33",-0.16862243754902,1.00825498213585,-0.0707276193235405,-0.107590486877771
"34",-0.16862243754902,1.02919478583301,-0.161555165819177,-0.182048992260279
"35",-0.16862243754902,1.0174346282067,-0.109749939305867,-0.152079497291579
"36",-0.16862243754902,1.00923465484002,-0.0152902613244089,-0.135354336608372
"37",-0.16862243754902,1.00811406194312,-0.0386582102896676,-0.121653214773238
"38",-0.16862243754902,1.01311508957404,-0.0966440383852932,-0.130622029410028
"39",-0.16862243754902,1.01845418243959,-0.00594350731515155,-0.192908259153116
"40",-0.16862243754902,1.00800925854252,-0.0893799615048495,-0.0899660368629623
"41",-0.16862243754902,1.0036992498994,-0.0651445559637922,-0.0562882854321456
"42",-0.16862243754902,1.01884247969647,-0.148588174594325,-0.126339039116089
"43",-0.16862243754902,1.00101233670003,-0.0450031329287257,0.000645176145291088
"44",-0.16862243754902,1.03103306173536,-0.223699721386735,-0.113963191614203
"45",-0.16862243754902,1.04539063965233,-0.29345957852198,-0.0819943000848531
"46",-0.16862243754902,1.01640811741496,-0.113479142684198,-0.142154652835172
"47",-0.16862243754902,1.01230035329098,-0.139438248973429,-0.0728627476578886
"48",-0.16862243754902,1.04163432238331,-0.14940281815728,-0.250361457683875
"49",-0.16862243754902,1.02292008524837,-0.159375626655415,-0.144792646335143
"50",-0.16862243754902,1.04113781122677,-0.107101343057948,-0.269253123066854
"51",-0.16862243754902,1.01606148955978,-0.0974373220213059,-0.151284231973345
"52",-0.16862243754902,1.01823185047218,-0.142063364337819,-0.12889570135975
"53",-0.16862243754902,1.02434874935867,-0.206757271287384,-0.0808813395194876
"54",-0.16862243754902,1.01449204047499,-0.106030960608458,-0.133983340679174
"55",-0.16862243754902,1.02603753180289,-0.10238104711464,-0.205599459775258
"56",-0.16862243754902,1.02157328477858,-0.171112615954622,-0.119718205944087
"57",-0.16862243754902,1.00643638461692,0.00142316023444579,-0.113631733665089
"58",-0.16862243754902,1.01459238445211,-0.101233811559878,-0.138381436563107
"59",-0.16862243754902,1.00997411525733,-0.140111237963093,0.0204096664911982
"60",-0.16862243754902,1.0197520585107,-0.152124884580981,-0.129430600431391
"61",-0.16862243754902,1.01793495924293,-0.0865966073364106,-0.169388927757162
"62",-0.16862243754902,1.01604937398176,-0.116182767115496,-0.13732405104027
"63",-0.16862243754902,1.00973527792192,-0.0972705124143948,-0.1005175551568
"64",-0.16862243754902,1.01679548876674,0.018851683326403,-0.183078343919101
"65",-0.16862243754902,1.01392450839681,-0.109432787797989,-0.126757144502692
"66",-0.16862243754902,1.01325806050055,-0.135891337857674,-0.0906942195765348
"67",-0.16862243754902,1.0143641806335,-0.153522230361705,-0.0732503633918237
"68",-0.16862243754902,1.01651383591695,0.00215182167326719,-0.182471225879813
"69",-0.16862243754902,1.00545478207628,-0.0795574208101172,-0.0678965064940253
"70",-0.16862243754902,1.03255595757395,-0.189256900701879,-0.174222934937337
"71",-0.16862243754902,1.0115582351859,0.0283244806902055,-0.149825855465748
